genre_1,genre_2,release_year
Animation,Comedy,1995
Animation,Family,1995
Comedy,Family,1995
Adventure,Family,1995
Adventure,Fantasy,1995
Family,Fantasy,1995
Comedy,Romance,1995
Comedy,Drama,1995
Comedy,Romance,1995
Drama,Romance,1995
Action,Crime,1995
Action,Drama,1995
Action,Thriller,1995
Crime,Drama,1995
Crime,Thriller,1995
Drama,Thriller,1995
Comedy,Romance,1995
Action,Adventure,1995
Action,Drama,1995
Action,Family,1995
Adventure,Drama,1995
Adventure,Family,1995
Drama,Family,1995
Action,Adventure,1995
Action,Thriller,1995
Adventure,Thriller,1995
Action,Adventure,1995
Action,Thriller,1995
Adventure,Thriller,1995
Comedy,Drama,1995
Comedy,Romance,1995
Drama,Romance,1995
Comedy,Horror,1995
Adventure,Animation,1995
Adventure,Family,1995
Animation,Family,1995
Drama,History,1995
Action,Adventure,1995
Crime,Drama,1995
Drama,Romance,1995
Comedy,Crime,1995
Adventure,Comedy,1995
Adventure,Crime,1995
Comedy,Crime,1995
Action,Comedy,1995
Action,Crime,1995
Comedy,Crime,1995
Comedy,Crime,1995
Comedy,Thriller,1995
Crime,Thriller,1995
Drama,Thriller,1995
Action,Adventure,1995
Action,Crime,1995
Action,Thriller,1995
Adventure,Crime,1995
Adventure,Thriller,1995
Crime,Thriller,1995
Drama,Fantasy,1995
Drama,Science_Fiction,1995
Drama,Thriller,1995
Fantasy,Science_Fiction,1995
Fantasy,Thriller,1995
Science_Fiction,Thriller,1995
Drama,Romance,1995
Comedy,Drama,1995
Comedy,Family,1995
Drama,Family,1995
Drama,Romance,1995
Adventure,Fantasy,1995
Adventure,Science_Fiction,1995
Fantasy,Science_Fiction,1995
Crime,Drama,1995
Crime,Drama,1995
Mystery,Science_Fiction,1995
Mystery,Thriller,1995
Science_Fiction,Thriller,1995
Adventure,Romance,1996
Comedy,Drama,1995
Comedy,Family,1995
Comedy,Fantasy,1995
Drama,Family,1995
Drama,Fantasy,1995
Family,Fantasy,1995
Drama,History,1995
Drama,Romance,1995
History,Romance,1995
Adventure,Drama,1995
Adventure,Family,1995
Adventure,History,1995
Drama,Family,1995
Drama,History,1995
Family,History,1995
Comedy,Family,1995
Comedy,Romance,1995
Family,Romance,1995
Comedy,Drama,1995
Comedy,Romance,1995
Drama,Romance,1995
Drama,War,1995
Action,Crime,1995
Action,Drama,1995
Action,History,1995
Crime,Drama,1995
Crime,History,1995
Drama,History,1995
Drama,Romance,1995
Action,Fantasy,1995
Comedy,Drama,1995
Comedy,Fantasy,1995
Comedy,Thriller,1995
Drama,Fantasy,1995
Drama,Thriller,1995
Fantasy,Thriller,1995
Drama,Romance,1995
Crime,Mystery,1995
Crime,Thriller,1995
Mystery,Thriller,1995
Adventure,Animation,1995
Adventure,Drama,1995
Adventure,Family,1995
Animation,Drama,1995
Animation,Family,1995
Drama,Family,1995
Drama,Romance,1995
Crime,Drama,1995
Crime,Thriller,1995
Drama,Thriller,1995
Action,Drama,1994
Action,Thriller,1994
Drama,Thriller,1994
Comedy,Romance,1995
Drama,Foreign,1994
Action,Adventure,1995
Action,Comedy,1995
Action,Family,1995
Adventure,Comedy,1995
Adventure,Family,1995
Comedy,Family,1995
Comedy,Drama,1995
Comedy,Romance,1995
Drama,Romance,1995
Comedy,Drama,1994
Comedy,Romance,1994
Drama,Romance,1994
Drama,Mystery,1995
Drama,Thriller,1995
Mystery,Thriller,1995
Adventure,Family,1995
Adventure,Fantasy,1995
Family,Fantasy,1995
Drama,Thriller,1996
Drama,Family,1995
Drama,Music,1995
Family,Music,1995
Comedy,Romance,1996
Action,Science_Fiction,1996
Drama,Family,1995
Comedy,Romance,1995
Action,Crime,1996
Action,Horror,1996
Action,Thriller,1996
Crime,Horror,1996
Crime,Thriller,1996
Horror,Thriller,1996
Action,Romance,1995
Action,Thriller,1995
Romance,Thriller,1995
Comedy,Drama,1995
Comedy,Romance,1995
Drama,Romance,1995
Drama,History,1995
Drama,Romance,1996
Comedy,Family,1996
Horror,Science_Fiction,1995
Drama,Thriller,1995
Drama,Thriller,1996
Drama,Family,1995
Crime,Drama,1995
Comedy,Drama,1995
Drama,Romance,1996
Drama,Romance,1995
Action,Drama,1996
Adventure,Comedy,1996
Adventure,Family,1996
Comedy,Family,1996
Crime,Drama,1995
Crime,Thriller,1995
Drama,Thriller,1995
Drama,Horror,1996
Drama,Romance,1996
Drama,Thriller,1996
Horror,Romance,1996
Horror,Thriller,1996
Romance,Thriller,1996
Comedy,Horror,1995
Comedy,Romance,1995
Horror,Romance,1995
Comedy,Drama,1996
Comedy,Romance,1996
Drama,Romance,1996
Action,Adventure,1996
Action,Drama,1996
Action,Thriller,1996
Adventure,Drama,1996
Adventure,Thriller,1996
Drama,Thriller,1996
