genre_1,genre_2,release_year,count
Animation,Comedy,1995,7
Animation,Family,1995,11
Comedy,Family,1995,26
Adventure,Family,1995,23
Adventure,Fantasy,1995,9
Family,Fantasy,1995,15
Comedy,Romance,1995,44
Comedy,Drama,1995,66
Drama,Romance,1995,78
Action,Crime,1995,26
Action,Drama,1995,38
Action,Thriller,1995,52
Crime,Drama,1995,37
Crime,Thriller,1995,28
Drama,Thriller,1995,48
Action,Adventure,1995,28
Action,Family,1995,10
Adventure,Drama,1995,15
Drama,Family,1995,27
Adventure,Thriller,1995,9
Comedy,Horror,1995,9
Adventure,Animation,1995,9
Drama,History,1995,13
Comedy,Crime,1995,15
Adventure,Comedy,1995,11
Adventure,Crime,1995,5
Action,Comedy,1995,23
Comedy,Thriller,1995,11
Drama,Fantasy,1995,14
Drama,Science_Fiction,1995,10
Fantasy,Science_Fiction,1995,11
Fantasy,Thriller,1995,4
Science_Fiction,Thriller,1995,19
Adventure,Science_Fiction,1995,10
Mystery,Science_Fiction,1995,4
Mystery,Thriller,1995,17
Adventure,Romance,1996,4
Comedy,Fantasy,1995,14
History,Romance,1995,5
Adventure,History,1995,3
Family,History,1995,1
Family,Romance,1995,7
Drama,War,1995,12
Action,History,1995,4
Crime,History,1995,2
Action,Fantasy,1995,7
Crime,Mystery,1995,5
Animation,Drama,1995,4
Action,Drama,1994,34
Action,Thriller,1994,40
Drama,Thriller,1994,45
Drama,Foreign,1994,15
Comedy,Drama,1994,69
Comedy,Romance,1994,45
Drama,Romance,1994,65
Drama,Mystery,1995,12
Drama,Thriller,1996,71
Drama,Music,1995,2
Family,Music,1995,2
Comedy,Romance,1996,54
Action,Science_Fiction,1996,22
Action,Crime,1996,16
Action,Horror,1996,4
Action,Thriller,1996,49
Crime,Horror,1996,4
Crime,Thriller,1996,29
Horror,Thriller,1996,13
Action,Romance,1995,8
Romance,Thriller,1995,8
Drama,Romance,1996,90
Comedy,Family,1996,31
Horror,Science_Fiction,1995,14
Action,Drama,1996,34
Adventure,Comedy,1996,12
Adventure,Family,1996,13
Drama,Horror,1996,9
Horror,Romance,1996,1
Romance,Thriller,1996,11
Horror,Romance,1995,1
Comedy,Drama,1996,83
Action,Adventure,1996,26
Adventure,Drama,1996,13
Adventure,Thriller,1996,13
Action,Adventure,1994,34
Action,Science_Fiction,1994,21
Adventure,Drama,1994,16
Adventure,Science_Fiction,1994,10
Adventure,Thriller,1994,8
Drama,Science_Fiction,1994,6
Science_Fiction,Thriller,1994,9
Comedy,Crime,1996,11
Crime,Drama,1996,38
Drama,Mystery,1996,20
Drama,Science_Fiction,1996,9
Mystery,Science_Fiction,1996,2
Mystery,Thriller,1996,15
Science_Fiction,Thriller,1996,17
Comedy,Family,1994,33
Drama,Family,1994,28
Action,Comedy,1996,20
Action,Family,1996,5
Action,Music,1996,1
Adventure,Music,1996,1
Comedy,Music,1996,8
Family,Music,1996,1
Action,War,1995,2
History,War,1995,5
Crime,Drama,1976,20
Documentary,Drama,1995,4
Documentary,Foreign,1995,2
Drama,Foreign,1995,7
Drama,Family,1996,15
Comedy,Romance,1992,31
Romance,War,1995,4
Action,Mystery,1995,4
Mystery,Romance,1995,2
Documentary,Music,1995,1
Comedy,Crime,1994,16
Comedy,Thriller,1994,13
Crime,Drama,1994,22
Crime,Thriller,1994,24
Drama,Horror,1995,7
Crime,Fantasy,1995,2
Drama,Romance,1967,27
Action,Science_Fiction,1995,28
Adventure,Mystery,1995,2
Adventure,Romance,1995,5
Horror,Mystery,1995,7
Horror,Thriller,1995,19
Comedy,Drama,1993,61
Family,Science_Fiction,1995,5
Foreign,Thriller,1995,4
