Decades,Communities,Modularity
1890s,"[frozenset({'Animation', 'Fantasy', 'Science_Fiction', 'Horror', 'Comedy', 'Family'}), frozenset({'Documentary', 'History', 'Romance', 'War', 'Drama', 'Action'})]",0.41579861111111116
1900s,"[frozenset({'Animation', 'Documentary', 'Science_Fiction', 'Romance', 'Comedy', 'Music'}), frozenset({'History', 'Thriller', 'Crime', 'Western', 'Drama', 'Action'}), frozenset({'Horror', 'Adventure', 'Fantasy', 'Family'})]",0.1503061224489796
1910s,"[frozenset({'Adventure', 'Science_Fiction', 'Romance', 'Comedy', 'Crime', 'Western', 'Action'}), frozenset({'Animation', 'War', 'Drama', 'History'}), frozenset({'Mystery', 'Fantasy', 'Horror', 'Family'})]",0.031927437641723344
1920s,"[frozenset({'History', 'Romance', 'War', 'Music', 'Western', 'Drama', 'Action'}), frozenset({'Animation', 'Adventure', 'Documentary', 'Fantasy', 'Comedy', 'Family'}), frozenset({'Horror', 'Science_Fiction', 'Thriller', 'Crime', 'Mystery'})]",0.024584124465100443
1930s,"[frozenset({'Adventure', 'Horror', 'Science_Fiction', 'Action', 'Family', 'Animation', 'Fantasy', 'Thriller', 'Comedy', 'Mystery'}), frozenset({'Documentary', 'Romance', 'Crime', 'War', 'Drama', 'Western', 'Music', 'History'})]",0.007027767736020651
1940s,"[frozenset({'Adventure', 'Documentary', 'Science_Fiction', 'Romance', 'Crime', 'War', 'Western', 'Drama', 'History', 'Thriller', 'Comedy', 'Mystery'}), frozenset({'Animation', 'Horror', 'Fantasy', 'Music', 'Action', 'Family'})]",0.016844163803809663
1950s,"[frozenset({'Documentary', 'Horror', 'Science_Fiction', 'Crime', 'Western', 'Drama', 'Action', 'History', 'Foreign', 'Thriller', 'Mystery'}), frozenset({'Animation', 'Adventure', 'Fantasy', 'Romance', 'Comedy', 'War', 'Music', 'Family'})]",0.07799467969056498
1960s,"[frozenset({'Adventure', 'Horror', 'Romance', 'Music', 'Crime', 'Western', 'Action', 'Fantasy', 'History', 'Thriller', 'Foreign'}), frozenset({'Documentary', 'Science_Fiction', 'War', 'Drama', 'TV_Movie', 'Family', 'Animation', 'Comedy', 'Mystery'})]",-0.07504410344728107
1970s,"[frozenset({'Adventure', 'Science_Fiction', 'Romance', 'Music', 'Crime', 'Drama', 'Action', 'Western', 'Family', 'Animation', 'Fantasy', 'Foreign', 'Comedy', 'Mystery'}), frozenset({'Documentary', 'History', 'Horror', 'Thriller', 'War', 'TV_Movie'})]",0.004938029780642783
1980s,"[frozenset({'Documentary', 'Horror', 'Romance', 'Mystery', 'War', 'Crime', 'Drama', 'Family', 'Animation', 'Fantasy', 'Comedy', 'Foreign'}), frozenset({'Adventure', 'Science_Fiction', 'Music', 'Western', 'Action', 'TV_Movie', 'History', 'Thriller'})]",-0.003673394994686302
1990s,"[frozenset({'Adventure', 'Science_Fiction', 'Romance', 'Music', 'War', 'Western', 'TV_Movie', 'Family', 'Comedy', 'Mystery', 'Documentary', 'Horror', 'Crime', 'Drama', 'Action', 'Animation', 'Fantasy', 'History', 'Thriller', 'Foreign'})]",1.1102230246251565e-16
2000s,"[frozenset({'Adventure', 'Science_Fiction', 'Romance', 'Music', 'War', 'Western', 'TV_Movie', 'Family', 'Comedy', 'Mystery', 'Documentary', 'Horror', 'Crime', 'Drama', 'Action', 'Animation', 'History', 'Fantasy', 'Thriller', 'Foreign'})]",1.1102230246251565e-16
2010s,"[frozenset({'Adventure', 'Science_Fiction', 'Romance', 'War', 'Music', 'Western', 'TV_Movie', 'Family', 'Comedy', 'Mystery', 'Documentary', 'Horror', 'Crime', 'Drama', 'Action', 'Animation', 'History', 'Fantasy', 'Thriller', 'Foreign'})]",1.1102230246251565e-16
2020s,"[frozenset({'Adventure', 'Action', 'Science_Fiction', 'Fantasy'})]",0.0
