Decades,Communities,Modularity
1890s,"[{'Animation', 'Fantasy', 'Horror', 'Science_Fiction', 'Comedy', 'Family'}, {'Documentary', 'History', 'Romance', 'War', 'Drama', 'Action'}]",0.41579861111111116
1900s,"[{'Documentary', 'Horror', 'Science_Fiction', 'Romance', 'Music', 'Animation', 'Fantasy', 'Comedy'}, {'Western', 'Adventure', 'Family'}, {'History', 'Thriller', 'Crime', 'Drama', 'Action'}]",0.20908163265306123
1910s,"[{'Adventure', 'Fantasy', 'Science_Fiction', 'Horror', 'Mystery', 'Family'}, {'Romance', 'War', 'Crime', 'Western', 'Drama', 'Action', 'Animation', 'History', 'Comedy'}]",0.08689342403628125
1920s,"[{'Romance', 'War', 'Crime', 'Drama', 'Music', 'History', 'Thriller', 'Comedy', 'Mystery'}, {'Animation', 'Documentary', 'Fantasy', 'Science_Fiction', 'Horror', 'Family'}, {'Western', 'Adventure', 'Action'}]",0.047969912027496994
1930s,"[{'Adventure', 'Documentary', 'War', 'Western', 'Action', 'Family', 'Animation', 'Fantasy'}, {'History', 'Romance', 'Comedy', 'Music', 'Drama'}, {'Horror', 'Science_Fiction', 'Thriller', 'Crime', 'Mystery'}]",0.1348588832903505
1940s,"[{'Documentary', 'History', 'Thriller', 'War', 'Drama', 'Mystery', 'Crime'}, {'Animation', 'Horror', 'Science_Fiction', 'Fantasy', 'Family'}, {'Comedy', 'Music', 'Romance'}, {'Western', 'Adventure', 'Action'}]",0.14236609086950214
1950s,"[{'Horror', 'Science_Fiction', 'Thriller', 'Crime', 'Mystery'}, {'Documentary', 'Romance', 'War', 'Music', 'Drama', 'History', 'Comedy', 'Foreign'}, {'Animation', 'Adventure', 'Fantasy', 'Western', 'Action', 'Family'}]",0.14343795347561045
1960s,"[{'Documentary', 'History', 'Romance', 'Comedy', 'War', 'Music', 'Drama'}, {'Horror', 'Science_Fiction', 'Thriller', 'Crime', 'Mystery', 'TV_Movie'}, {'Animation', 'Adventure', 'Fantasy', 'Foreign', 'Western', 'Action', 'Family'}]",0.12457732933717439
1970s,"[{'Horror', 'Science_Fiction', 'Thriller', 'Mystery', 'TV_Movie'}, {'Romance', 'War', 'Crime', 'Drama', 'Western', 'Action', 'History', 'Comedy', 'Foreign'}, {'Animation', 'Adventure', 'Documentary', 'Fantasy', 'Music', 'Family'}]",0.11348528992222255
1980s,"[{'Documentary', 'Romance', 'War', 'Music', 'Western', 'Drama', 'TV_Movie', 'History', 'Comedy', 'Foreign'}, {'Mystery', 'Crime', 'Horror', 'Thriller'}, {'Animation', 'Adventure', 'Fantasy', 'Science_Fiction', 'Action', 'Family'}]",0.12193738491017445
1990s,"[{'Animation', 'Adventure', 'Fantasy', 'Family'}, {'Documentary', 'Romance', 'War', 'Music', 'Drama', 'Western', 'TV_Movie', 'History', 'Comedy', 'Foreign'}, {'Horror', 'Science_Fiction', 'Thriller', 'Mystery', 'Crime', 'Action'}]",0.13292874039197658
2000s,"[{'Animation', 'Adventure', 'Fantasy', 'Science_Fiction', 'Family'}, {'Horror', 'Thriller', 'Crime', 'Action', 'Mystery'}, {'Documentary', 'Romance', 'War', 'Music', 'Drama', 'Western', 'TV_Movie', 'History', 'Comedy', 'Foreign'}]",0.14510179870678672
2010s,"[{'Documentary', 'Romance', 'War', 'Music', 'Drama', 'TV_Movie', 'History', 'Comedy', 'Foreign'}, {'Horror', 'Science_Fiction', 'Thriller', 'Mystery', 'Crime', 'Western', 'Action'}, {'Animation', 'Adventure', 'Fantasy', 'Family'}]",0.16862494539333148
2020s,"[{'Adventure', 'Action', 'Science_Fiction', 'Fantasy'}]",0.0
